municipio_obtencion;municipio_obtencion_original
837;Santa Sofía
838;Santacruz
843;Santafé de Antioquia
844;Santana
847;Santander de Quilichao
845;Santiago
846;Santiago de Tolú
848;Santo Domingo
817;Santo Tomás
818;Santodomigo de Silos
819;Santuario
820;Sapuyes
849;Saravena
850;Sardinata
851;Sasaima
852;Sativanorte
853;Sativasur
854;Segovia
855;Sesquilé
856;Sevilla
857;Siachoque
858;Sibaté
859;Sibundoy
860;Silvania
861;Silvia
862;Simacota
863;Simijaca
864;Simití
865;Sincé
867;Sincelejo
866;Sipí
868;Sitionuevo
869;Soacha
870;Soatá
871;Socha
872;Socorro
873;Socotá
874;Sogamoso
875;Solano
876;Soledad
877;Solita
878;Somondoco
879;Sonsón
880;Sopetrán
883;Soplaviento
881;Sopó
882;Sora
884;Soracá
885;Sotaquirá
886;Sotara
887;Sotomayor
888;Suaita
889;Suan
890;Suárez
903;Suaza
891;Subachoque
892;Sucre
893;Suesca
894;Supatá
896;Supía
895;Suratá
897;Susa
898;Susacón
899;Sutamarchán
900;Sutatausa
901;Sutatenza
902;Tabio
971;Tadó
906;Talaigua Nuevo
907;Tamalameque
908;Támara
909;Tame
969;Támesis
910;Taminango
970;Tangua
911;Taraira
912;Tarapacá
972;Tarazá
913;Tarqui
914;Tarso
915;Tasco
916;Tauramena
917;Tausa
918;Tello
919;Tena
920;Tenerife
921;Tenjo
922;Tenza
923;Teorama
924;Teruel
925;Tesalia
926;Tibacuy
927;Tibaná
928;Tibasosa
929;Tibirita
930;Tibú
933;Tierralta
931;Timaná
932;Timbío
934;Timbiquí
935;Tinjacá
937;Tipacoque
936;Tiquisio
938;Titiribí
939;Toca
940;Tocaima
941;Tocancipá
942;Todo el pais
943;Togüí
944;Toledo
945;Tolemaida
946;Toluviejo
947;Tona
948;Tópaga
949;Topaipí
950;Toribio
951;Toro
952;Tota
953;Totoró
954;Trinidad
955;Trujillo
956;Tubará
957;Tuchín
958;Tuluá
959;Tunja
960;Tununguá
961;Túquerres
962;Turbaco
963;Turbaná
964;Turbo
965;Turmequé
966;Tuta
967;Tutazá
968;Ubalá
973;Ubaque
974;Ulloa
975;Umbita
976;Une
977;Unguía
978;Unión Panamericana
979;Uramita
980;Uribe
981;Uribia
982;Urrao
983;Urumita
984;Usiacurí
985;Útica
986;Valdivia
987;Valencia
1023;Valle de San José
990;Valle de San Juan
988;Valle del Guamuez/La Hormiga
989;Valledupar
991;Valparaíso
992;Vegachí
993;Vélez
994;Venadillo
995;Venecia
996;Ventaquemada
997;Vergara
998;Versalles
999;Vetas
1000;Vianí
1001;Victoria
1002;Vigía del Fuerte
1003;Vijes
1004;Villa Caro
1007;Villa de Leyva
1009;Villa de San Diego de Ubate
1008;Villa del Rosario
1010;Villa Garzón/Villa Amazonica
1005;Villa Rica
1011;Villagómez
1012;Villahermosa
1013;Villamaría
1014;Villanueva
1006;Villapinzón
1015;Villarrica
1016;Villavicencio
1017;Villavieja
1018;Villeta
1019;Viotá
1020;Viracachá
1021;Vistahermosa
1022;Viterbo
1024;Yacopí
1025;Yacuanquer
1026;Yaguará
1027;Yalí
1028;Yarumal
1029;Yavaraté
1030;Yolombo
1031;Yondó
1032;Yopal
1033;Yotoco
1034;Yumbo
1035;Zambrano
1036;Zapatoca
1037;Zapayán
1038;Zaragoza
1039;Zarzal
1040;Zetaquira
1041;Zipacón
1042;Zipaquirá
1043;Zona Bananera
