municipio_entrega;municipio_entrega_original
597;Pachavita
598;Pacho
599;Pacoa
600;Pácora
696;Padilla
601;Páez
697;Paez/Belalcazar
602;Paicol
603;Pailitas
604;Paime
605;Paipa
606;Pajarito
607;Palermo
608;Palestina
609;Palmar
610;Palmar de Varela
611;Palmas del Socorro
612;Palmira
613;Palmito
614;Palocabildo
615;Pamplona
616;Pamplonita
617;Pandi
618;Panqueba
619;Páramo
698;Paratebueno
620;Pasca
621;Pasto
622;Patía
623;Pauna
624;Paya
625;Paz de Ariporo
626;Paz de Río
627;Pedraza
628;Pelaya
629;Pensilvania
630;Peque
631;Pereira
632;Pesca
633;Piamonte
634;Piedecuesta
635;Piedras
636;Piendamó
637;Pijao
638;Pijiño del Carmen
639;Pinchote
640;Pinillos
641;Piojó
642;Pisba
643;Pitalito
644;Pivijay
645;Planadas
646;Planeta Rica
647;Plato
648;Policarpa
649;Polonuevo
650;Ponedera
651;Popayán
652;Pore
653;Potosí
654;Pradera
655;Prado
656;Providencia
657;Pueblo Bello
658;Pueblo Nuevo
659;Pueblo Rico
660;Pueblorrico
661;Puebloviejo
662;Puente Nacional
663;Puerres
664;Puerto Arica
665;Puerto Asís
666;Puerto Berrío
667;Puerto Bolívar
668;Puerto Boyacá
669;Puerto Caicedo
670;Puerto Carreño
671;Puerto Colombia
672;Puerto Concordia
673;Puerto Escondido
674;Puerto Gaitán
675;Puerto Guzmán
676;Puerto Leguízamo
680;Puerto Libertador
677;Puerto Lleras
678;Puerto López
679;Puerto Nare
681;Puerto Nariño
682;Puerto Parra
683;Puerto Rico
684;Puerto Rondón
685;Puerto Salgar
686;Puerto Santander
687;Puerto Tejada
688;Puerto Triunfo
689;Puerto Wilches
690;Pulí
691;Pupiales
692;Puracé
693;Purificación
695;Purísima
694;Quebradanegra
705;Quetame
699;Quibdó
700;Quimbaya
701;Quinchía
702;Quípama
703;Quipile
704;Ragonvalia
706;Ramiriquí
707;Ráquira
732;Recetor
729;Regidor
730;Remedios
731;Remolino
728;Repelón
708;Restrepo
709;Ricaurte
710;Río de Oro
711;Río Iro
712;Río Quito
713;Río Viejo
714;Rioblanco
715;Riofrío
716;Riohacha
717;Rionegro
718;Riosucio
719;Risaralda
720;Rivera
721;Roberto Payán/San José
722;Roldanillo
723;Roncesvalles
724;Rondón
725;Rosas
726;Rovira
727;Sabana de Torres
733;Sabanagrande
734;Sabanalarga
735;Sabanas de San Angel
736;Sabaneta
737;Saboyá
738;Sácama
908;Sáchica
909;Sahagún
739;Saladoblanco
740;Salamina
741;Salazar de las Palmas
742;Saldaña
743;Salento
744;Salgar
745;Samacá
746;Samaná
748;Samaniego
747;Sampués
749;San Agustín
750;San Alberto
751;San Andrés
753;San Andrés de Cuerquia
755;San Andres de Tumaco
754;San Andrés Sotavento
752;San Antero
756;San Antonio
757;San Antonio del Tequendama
758;San Benito
759;San Benito Abad
760;San Bernardo
761;San Bernardo del Viento
762;San Calixto
763;San Carlos
764;San Carlos de Guaroa
765;San Cayetano
766;San Cristóbal
767;San Diego
768;San Eduardo
825;San Estanislao de Kostka
769;San Felipe
770;San Felix
771;San Fernando
772;San Francisco
773;San Gil
774;San Jacinto
775;San Jacinto del Cauca
776;San Jerónimo
777;San Joaquín
778;San José
779;San José de Cúcuta
780;San José de la Montaña
781;San José de Miranda
785;San José de Pare
786;San José de Uré
787;San José del Fragua
788;San José del Guaviare
782;San José del Palmar
783;San Juan de Arama
784;San Juan de Betulia
790;San Juan de Río Seco
791;San Juan de Urabá
794;San Juan del Cesar
792;San Juan Nepomuceno
793;San Juanito
795;San Lorenzo
789;San Luis
796;San Luis de Gaceno
797;San Luis de Palenque
798;San Marcos
799;San Martín
800;San Martín de Loba
801;San Mateo
802;San Miguel
803;San Miguel (La Dorada)
804;San Miguel de Mocoa
806;San Miguel de Sema
807;San Onofre
805;San Pablo
808;San Pablo de Borbur
809;San Pedro
810;San Pedro de Cartago
811;San Pedro de los Milagros
812;San Pedro de Uraba
814;San Pelayo
813;San Rafael
815;San Roque
816;San Sebastián
817;San Sebastián de Buenavista
819;San Sebastian de Mariquita
820;San Vicente
818;San Vicente de Chucurí
826;San Vicente del Caguán
827;San Zenón
828;Sandona
829;Santa Ana
843;Santa Bárbara
844;Santa Bárbara de Pinto
830;Santa Catalina
831;Santa Helena del Opón
832;Santa Isabel
834;Santa Lucía
833;Santa María
845;Santa Marta
846;Santa Rosa
835;Santa Rosa de Cabal
836;Santa Rosa de Lima
837;Santa Rosa de Osos
840;Santa Rosa de Viterbo
838;Santa Rosa del Sur
839;Santa Rosalía
841;Santa Sofía
842;Santacruz
847;Santafé de Antioquia
848;Santana
851;Santander de Quilichao
849;Santiago
850;Santiago de Tolú
852;Santo Domingo
821;Santo Tomás
822;Santodomigo de Silos
823;Santuario
824;Sapuyes
853;Saravena
854;Sardinata
855;Sasaima
856;Sativanorte
857;Sativasur
858;Segovia
859;Sesquilé
860;Sevilla
861;Siachoque
862;Sibaté
863;Sibundoy
864;Silvania
865;Silvia
866;Simacota
867;Simijaca
868;Simití
869;Sincé
871;Sincelejo
870;Sipí
872;Sitionuevo
873;Soacha
874;Soatá
875;Socha
876;Socorro
877;Socotá
878;Sogamoso
879;Solano
880;Soledad
881;Solita
882;Somondoco
883;Sonsón
884;Sopetrán
887;Soplaviento
885;Sopó
886;Sora
888;Soracá
889;Sotaquirá
890;Sotara
891;Sotomayor
892;Suaita
893;Suan
894;Suárez
907;Suaza
895;Subachoque
896;Sucre
897;Suesca
898;Supatá
900;Supía
899;Suratá
901;Susa
902;Susacón
903;Sutamarchán
904;Sutatausa
905;Sutatenza
906;Tabio
975;Tadó
910;Talaigua Nuevo
911;Tamalameque
912;Támara
913;Tame
973;Támesis
914;Taminango
974;Tangua
915;Taraira
916;Tarapacá
976;Tarazá
917;Tarqui
918;Tarso
919;Tasco
920;Tauramena
921;Tausa
922;Tello
923;Tena
924;Tenerife
925;Tenjo
926;Tenza
927;Teorama
928;Teruel
929;Tesalia
930;Tibacuy
931;Tibaná
932;Tibasosa
933;Tibirita
934;Tibú
937;Tierralta
935;Timaná
936;Timbío
938;Timbiquí
939;Tinjacá
941;Tipacoque
940;Tiquisio
942;Titiribí
943;Toca
944;Tocaima
945;Tocancipá
946;Todo el pais
947;Togüí
948;Toledo
949;Tolemaida
950;Toluviejo
951;Tona
952;Tópaga
953;Topaipí
954;Toribio
955;Toro
956;Tota
957;Totoró
958;Trinidad
959;Trujillo
960;Tubará
961;Tuchín
962;Tuluá
963;Tunja
964;Tununguá
965;Túquerres
966;Turbaco
967;Turbaná
968;Turbo
969;Turmequé
970;Tuta
971;Tutazá
972;Ubalá
977;Ubaque
978;Ulloa
979;Umbita
980;Une
981;Unguía
982;Unión Panamericana
983;Uramita
984;Uribe
985;Uribia
986;Urrao
987;Urumita
988;Usiacurí
