municipios_ejecucion;municipios_ejecucion_original
769;San Felipe
770;San Felix
771;San Fernando
772;San Francisco
773;San Gil
774;San Jacinto
775;San Jacinto del Cauca
776;San Jerónimo
777;San Joaquín
778;San José
779;San José de Cúcuta
780;San José de la Montaña
781;San José de Miranda
785;San José de Pare
786;San José de Uré
787;San José del Fragua
788;San José del Guaviare
782;San José del Palmar
783;San Juan de Arama
784;San Juan de Betulia
790;San Juan de Río Seco
791;San Juan de Urabá
794;San Juan del Cesar
792;San Juan Nepomuceno
793;San Juanito
795;San Lorenzo
789;San Luis
796;San Luis de Gaceno
797;San Luis de Palenque
798;San Marcos
799;San Martín
800;San Martín de Loba
801;San Mateo
802;San Miguel
803;San Miguel (La Dorada)
804;San Miguel de Mocoa
806;San Miguel de Sema
807;San Onofre
805;San Pablo
808;San Pablo de Borbur
809;San Pedro
810;San Pedro de Cartago
811;San Pedro de los Milagros
812;San Pedro de Uraba
814;San Pelayo
813;San Rafael
815;San Roque
816;San Sebastián
817;San Sebastián de Buenavista
819;San Sebastian de Mariquita
820;San Vicente
818;San Vicente de Chucurí
826;San Vicente del Caguán
827;San Zenón
828;Sandona
829;Santa Ana
843;Santa Bárbara
844;Santa Bárbara de Pinto
830;Santa Catalina
831;Santa Helena del Opón
832;Santa Isabel
834;Santa Lucía
833;Santa María
845;Santa Marta
846;Santa Rosa
835;Santa Rosa de Cabal
836;Santa Rosa de Lima
837;Santa Rosa de Osos
840;Santa Rosa de Viterbo
838;Santa Rosa del Sur
839;Santa Rosalía
841;Santa Sofía
842;Santacruz
847;Santafé de Antioquia
848;Santana
851;Santander de Quilichao
849;Santiago
850;Santiago de Tolú
852;Santo Domingo
821;Santo Tomás
822;Santodomigo de Silos
823;Santuario
824;Sapuyes
853;Saravena
854;Sardinata
855;Sasaima
856;Sativanorte
857;Sativasur
858;Segovia
859;Sesquilé
860;Sevilla
861;Siachoque
862;Sibaté
863;Sibundoy
864;Silvania
865;Silvia
866;Simacota
867;Simijaca
868;Simití
869;Sincé
871;Sincelejo
870;Sipí
872;Sitionuevo
873;Soacha
874;Soatá
875;Socha
876;Socorro
877;Socotá
878;Sogamoso
879;Solano
880;Soledad
881;Solita
882;Somondoco
883;Sonsón
884;Sopetrán
887;Soplaviento
885;Sopó
886;Sora
888;Soracá
889;Sotaquirá
890;Sotara
891;Sotomayor
892;Suaita
893;Suan
894;Suárez
907;Suaza
895;Subachoque
896;Sucre
897;Suesca
898;Supatá
900;Supía
899;Suratá
901;Susa
902;Susacón
903;Sutamarchán
904;Sutatausa
905;Sutatenza
906;Tabio
975;Tadó
910;Talaigua Nuevo
911;Tamalameque
912;Támara
913;Tame
973;Támesis
914;Taminango
974;Tangua
915;Taraira
916;Tarapacá
976;Tarazá
917;Tarqui
918;Tarso
919;Tasco
920;Tauramena
921;Tausa
922;Tello
923;Tena
924;Tenerife
925;Tenjo
926;Tenza
927;Teorama
928;Teruel
929;Tesalia
930;Tibacuy
931;Tibaná
932;Tibasosa
933;Tibirita
934;Tibú
937;Tierralta
935;Timaná
936;Timbío
938;Timbiquí
939;Tinjacá
941;Tipacoque
940;Tiquisio
942;Titiribí
943;Toca
944;Tocaima
945;Tocancipá
946;Todo el pais
947;Togüí
948;Toledo
949;Tolemaida
950;Toluviejo
951;Tona
952;Tópaga
953;Topaipí
954;Toribio
955;Toro
956;Tota
957;Totoró
958;Trinidad
959;Trujillo
960;Tubará
961;Tuchín
962;Tuluá
963;Tunja
964;Tununguá
965;Túquerres
966;Turbaco
967;Turbaná
968;Turbo
969;Turmequé
970;Tuta
971;Tutazá
972;Ubalá
977;Ubaque
978;Ulloa
979;Umbita
980;Une
981;Unguía
982;Unión Panamericana
983;Uramita
984;Uribe
985;Uribia
986;Urrao
987;Urumita
988;Usiacurí
989;Útica
990;Valdivia
991;Valencia
1027;Valle de San José
994;Valle de San Juan
992;Valle del Guamuez/La Hormiga
993;Valledupar
995;Valparaíso
996;Vegachí
997;Vélez
998;Venadillo
999;Venecia
1000;Ventaquemada
1001;Vergara
1002;Versalles
1003;Vetas
1004;Vianí
1005;Victoria
1006;Vigía del Fuerte
1007;Vijes
1008;Villa Caro
1011;Villa de Leyva
1013;Villa de San Diego de Ubate
1012;Villa del Rosario
1014;Villa Garzón/Villa Amazonica
1009;Villa Rica
1015;Villagómez
1016;Villahermosa
1017;Villamaría
1018;Villanueva
1010;Villapinzón
1019;Villarrica
1020;Villavicencio
1021;Villavieja
1022;Villeta
1023;Viotá
1024;Viracachá
1025;Vistahermosa
1026;Viterbo
1028;Yacopí
1029;Yacuanquer
1030;Yaguará
1031;Yalí
1032;Yarumal
1033;Yavaraté
1034;Yolombo
1035;Yondó
1036;Yopal
1037;Yotoco
1038;Yumbo
1039;Zambrano
1040;Zapatoca
1041;Zapayán
1042;Zaragoza
1043;Zarzal
1044;Zetaquira
1045;Zipacón
1046;ZipaquirÃƒÂ¡
1047;Zona Bananera
